Food Item,Primary Risk Factor,Disease/Condition on Excess,Dietary Role/Recommendation,protein_g,fat_g,carbs_g,energy_kcal,sugar_g,fiber_g,sodium_mg,cholesterol_mg,iron_mg,Food Category,Cuisine,Meal Type,Diet Tags,,,,
apple_pie,"High Sugar, Refined Flour","Type 2 Diabetes, Weight Gain, Chronic Inflammation",Occasional Dessert/Treat; Control Portion Size,2.4,13,37,265,18,1.8,211,0,1.1,Baked Dessert,American,Dessert,High Sugar/Carb,,,,
baby_back_ribs,"High Saturated Fat, High Sodium (if sauced)","Cardiovascular Disease (CVD), High LDL Cholesterol",Moderate Red Meat Intake; Trim Visible Fat; Limit BBQ Sauce,20.5,22.3,0,292,0,0,205,70,1.4,Pork/BBQ,American BBQ,Dinner,"Keto-Friendly, High Protein",,,,
baklava,"High Sugar, High Fat","Weight Gain, Type 2 Diabetes, Cardiovascular Risk",Occasional treat; small portions,4.5,19.9,48.9,352,30.5,1.6,149.2,42.4,0.8,Dessert,Middle Eastern/Greek/Turkish,Dessert,High Sugar/High Fat,,,, 
beef_carpaccio,Raw Preparation (Foodborne Pathogens),"Foodborne Illness, Parasitic Infection",Consume only from Reputable Sources; Prioritize Quality Control,22.8,22,0,290,0.7,0.2,266,70,1,Raw Beef Starter,Italian,Appetizer,"Keto-Friendly, High Protein",,,,
donuts,High Sugar and Fat,"Weight Gain, CVD risk",Occasional treat; smaller portions,6.4,13.7,33.5,335,1,1.4,361.1,27.7,0.9,Dessert,Various,Breakfast/Dessert,Fried; high sugar/fat,,,,
french fries,Fried; high sodium,Weight Gain,Choose baked fries or small portions,5.5,14,33.2,299,0.9,1.3,430.3,27.8,0.8,Side,American/Fast Food,Side,High Carb/Fat,,,,
french_toast,"High Sugar (Syrup/Toppings), High Fat","High Blood Sugar Spikes, Weight Gain",Breakfast in Moderation; Use Minimal Syrup; Add Fruit,7,12,23,230,5,1,300,100,1.5,Bread Dish,Global,Breakfast/Brunch,High Carb/Fat,,,,
fried_rice,"High Sodium, High Oil (often low-quality)","Hypertension, Weight Gain (Excess oil)",Moderate Sodium; Ask for Less Oil; Load with Vegetables,6,6,24,175,2,1,450,30,1,Rice Dish,Asian,Dinner/Lunch,High Carb/Sodium,,,,
hamburger,"Processed toppings, high sodium","Weight Gain, CVD risk if frequent","Lean patty, wholegrain bun, veg toppings",11.3,13.6,28.9,256,2.7,2,622.3,40.1,1.6,Main,American,Main,High Protein/Fat,,,,
ice_cream,High sugar and fat,Weight Gain,Occasional treat; small servings,3.8,17.7,43.6,411,27,1.3,147.3,36.6,0.8,Dessert,Various,Dessert,High Sugar/Fat,,,,
omelette,High cholesterol if many eggs,Cardio risk if excessive,Use more egg whites and veg,12.2,15.2,25.2,272,3.2,1.9,643.6,41.7,1.4,Breakfast,Various,Breakfast,High Protein/Fat,,,,
pizza,High sodium and saturated fat,Weight Gain,"Thin crust, more veg, less cheese",6.3,10.4,31.7,233,2.9,1.9,367.9,19.5,1.2,Main,Italian,Main,High Carb/Fat,,,,
red_velvet _cake,"High Sugar, High Saturated Fat","Type 2 Diabetes, Weight Gain",Infrequent Treat; High Sugar Load,4,19,48,370,35,0.5,300,50,1,Baked Dessert,American,Dessert,High Sugar/Fat,,,,
samosa,High in carbs and fat,Weight Gain,Bake instead of fry,6.5,13.8,33.7,334,1,1.6,418.2,30,0.8,Snack,Indian,Snack,Fried; high fat/carbs,,,,
pancakes,Syrup adds sugar,Weight Gain,Use wholegrain and fruit toppings,3.7,21.9,42.2,414,29.1,1.5,143.1,38.5,0.6,Breakfast,Various,Breakfast,High Carb,,,,
