Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Serving(g)
Almonds (10 pcs),Nuts,168,5.6,4.2,15.4,2.8,1.1,1,0,28
Apple,Fruits,78,0.8,21,0.5,3.8,16.5,2,0,150
Avocado Toast (1 slice whole grain + 1/4 avocado),Snack,125,4,12.5,4,2,1.5,100,5,50
Baked Falafel (3 pcs),Legumes,200,6.4,20,6.4,3.2,2.4,160,8,80
Baked Sweet Potato (medium),Vegetable,129,2.4,30.2,0.2,4.5,9.8,50,0,150
Banana,Fruits,107,1.3,27.4,0.4,3.1,14.6,1,0,120
Black Bean Salad,Legumes,225,12,37.5,12,6,4.5,300,15,150
Broccoli,Vegetables,51,3.8,8.2,0.4,4.5,4.5,60,0,150
Brown Rice & Veg Bowl,Grains,270,12,37.5,12,6,4.5,300,15,150
Buckwheat Pancake (1 medium),Cereal,188,6,18.8,6,3,2.3,150,7,75
Carrot,Vegetables,52,3.2,7,0.4,3.8,3.8,51,0,128
Chia Pudding (low sugar),Dessert,200,12,40,10,7,12,160,10,200
Chickpea Salad,Legumes,210,12,37.5,12,6,4.5,300,15,150
"Cottage Cheese (low-fat, 100g)",Dairy,98,12,4,0.5,0,4,300,5,100
Grapes,Fruits,86,0.6,17.5,0.4,3.1,13.8,1,0,125
Greek Salad (light),Salad,120,12,37.5,12,6,4.5,300,15,150
Greek Yogurt (non-fat) parfait,Dairy,160,24,8,1,0,8,600,10,200
Grilled Chicken Salad (no dressing),Salad,130,30,0,3.5,0,0,80,85,100
Grilled Salmon (100g),Seafood,208,25.7,0,6.4,0,0,59,49,100
Grilled Turkey Breast (100g),Meat,135,30,0,3.5,0,0,80,85,100
Hummus (3 tbsp) with carrot sticks,Snack,120,4.8,15,4.8,2.4,1.8,120,6,60
Idli (2 pcs),Cereal,140,8,25,8,4,3,200,10,100
Kale Caesar (light dressing),Salad,180,12,37.5,12,6,4.5,300,15,150
Lentil Soup,Legumes,200,11.2,30,2.5,10,5,625,0,250
Miso Soup (1 cup),Soup,40,6.2,10,2.5,1.2,2.5,750,0,250
Mixed Berry Bowl,Fruit,71,0.6,17.5,0.4,3.1,13.8,1,0,125
Mixed Green Salad (no dressing),Salad,30,4.5,7.5,1.5,2.2,3,75,0,150
Moong Dal (1 cup),Legumes,160,9,24,2,8,4,500,0,200
"Oatmeal (rolled oats, water)",Cereal,150,8,60,4,6,1,10,0,200
Orange,Fruits,61,0.7,18.2,0.4,3.2,14.3,1,0,130
Overnight Oats (with milk),Cereal,280,12,40,10,7,12,160,10,200
"Paneer Tikka (grilled, low oil)",Vegetarian,170,8.5,21.2,10.2,3.4,2.5,170,17,85
Potato,Vegetables,116,2.4,30.2,0.2,4.5,9.8,50,0,150
Quinoa Salad,Salad,220,12,37.5,12,6,4.5,300,15,150
Sambar (1 cup),Legumes,120,11.2,30,2.5,10,5,625,0,250
Smoothie - Green (spinach/banana/almond milk),Beverage,180,1.1,27.4,0.4,3.1,14.6,1,0,30
Spinach,Vegetables,7,0.8,1.6,0.1,0.9,0.9,12,0,30
Sprouted Moong Salad,Legumes,150,16,50,16,8,6,400,20,200
Steamed White Fish (100g),Seafood,120,24,0,1.5,0,0,100,50,100
Strawberry,Fruits,40,0.6,17.5,0.4,3.1,13.8,1,0,125
Sushi - Salmon Roll (6 pcs),Seafood,240,15,37.5,18,6,4.5,300,30,150
Tofu Stir-fry (light oil),Vegetarian,173,15,37.5,18,6,4.5,300,30,115
Tomato,Vegetables,22,3.1,6.8,0.4,3.7,3.7,49,0,123
Tuna Salad (light mayo),Salad,240,15,37.5,18,6,4.5,300,30,150
Vegetable Soup (clear),Soup,90,11.2,30,2.5,10,5,625,0,250
Veggie Wrap (whole wheat),Snack,260,12,37.5,12,6,4.5,300,15,150
Walnuts (7 halves),Nuts,182,5.6,4.2,15.4,2.8,1.1,1,0,28
Whole Wheat Pasta with Tomato Sauce,Grains,300,6,45,3,4.5,0.8,7,0,150
